,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
0,La Asuncion,98,VE,overcast clouds,59,11.03,-63.86,91.4,11.41
1,Albany,0,US,clear sky,99,42.6,-73.97,50.0,5.17
2,Plyussa,100,RU,overcast clouds,79,58.43,29.37,52.7,7.54
3,Jamestown,90,US,overcast clouds,100,42.1,-79.24,46.0,11.41
4,Rikitea,0,PF,clear sky,79,-23.12,-134.97,73.0,15.28
5,Longyearbyen,75,SJ,broken clouds,93,78.22,15.64,32.0,3.36
6,Hurghada,0,EG,clear sky,42,27.26,33.81,80.6,9.17
7,Hilo,20,US,few clouds,62,19.73,-155.09,86.0,12.75
8,Ratnagiri,100,IN,moderate rain,87,16.98,73.3,78.31,4.21
9,Saskylakh,39,RU,scattered clouds,95,71.92,114.08,26.2,17.22
10,Moose Factory,90,CA,overcast clouds,95,51.26,-80.61,32.0,2.24
11,Ugoofaaru,93,MV,overcast clouds,73,5.67,73.0,82.31,13.89
12,Castro,23,BR,few clouds,38,-24.79,-50.01,73.47,1.12
13,Osorno,45,CL,scattered clouds,56,-40.57,-73.15,42.8,3.36
14,Bengkulu,100,ID,overcast clouds,75,-3.8,102.27,80.2,1.39
15,Victoria,70,HK,broken clouds,78,22.29,114.16,84.0,1.99
16,Arraial Do Cabo,0,BR,clear sky,82,-22.97,-42.03,75.4,18.01
17,Barrow,90,US,mist,95,71.29,-156.79,35.6,19.46
18,Altamira,92,BR,overcast clouds,71,-3.2,-52.21,77.83,3.53
19,Punta Arenas,75,CL,broken clouds,64,-53.15,-70.92,39.2,16.11
20,Port Alfred,100,ZA,light rain,80,-33.59,26.89,60.58,22.48
21,Cape Town,20,ZA,few clouds,82,-33.93,18.42,57.99,8.05
22,Torbay,90,CA,light rain,100,47.67,-52.73,63.0,4.7
23,Busselton,19,AU,few clouds,66,-33.65,115.33,55.99,8.01
24,Wuxue,100,CN,light rain,92,29.85,115.55,68.97,2.89
25,Bethel,1,US,clear sky,100,41.37,-73.41,48.99,4.7
26,Chichimila,100,MX,overcast clouds,97,20.62,-88.22,73.71,4.29
27,Tasiilaq,100,GL,overcast clouds,98,65.61,-37.64,35.6,6.93
28,Otukpo,98,NG,overcast clouds,92,7.19,8.13,70.52,1.41
29,Qaanaaq,0,GL,clear sky,83,77.48,-69.36,16.3,4.14
30,Zeya,100,RU,overcast clouds,74,53.75,127.27,49.32,6.76
31,Tuktoyaktuk,75,CA,broken clouds,100,69.45,-133.04,41.0,12.75
32,Carnarvon,1,AU,clear sky,42,-24.87,113.63,68.0,28.86
33,Fairbanks,20,US,few clouds,54,64.84,-147.72,62.6,11.41
34,Ushuaia,75,AR,broken clouds,64,-54.8,-68.3,35.6,3.36
35,Taoudenni,1,ML,clear sky,28,22.68,-3.98,91.4,12.53
36,Koumac,0,NC,clear sky,62,-20.57,164.28,75.09,23.55
37,Boyuibe,100,BO,overcast clouds,45,-20.42,-63.28,75.76,3.56
38,New Norfolk,93,AU,light rain,67,-42.78,147.06,68.0,4.0
39,Soc Trang,20,VN,few clouds,89,9.6,105.98,84.2,4.7
40,Westport,1,US,clear sky,82,41.14,-73.36,55.4,5.97
41,Dikson,98,RU,overcast clouds,85,73.51,80.55,34.72,23.04
42,Saldanha,0,ZA,clear sky,71,-33.01,17.94,51.8,2.24
43,Iqaluit,90,CA,light snow,80,63.75,-68.51,30.2,5.82
44,Hasaki,40,JP,scattered clouds,60,35.73,140.83,81.0,5.82
45,Butaritari,9,KI,clear sky,68,3.07,172.79,81.23,11.34
46,Altamont,1,US,clear sky,35,42.21,-121.74,71.6,8.05
47,Kavieng,32,PG,scattered clouds,63,-2.57,150.8,85.01,6.44
48,Kendari,100,ID,overcast clouds,57,-3.94,122.5,86.45,3.27
49,Kapaa,1,US,clear sky,70,22.08,-159.32,84.2,6.93
50,Langsa,100,ID,heavy intensity rain,90,4.47,97.97,77.29,2.37
51,Khatanga,97,RU,overcast clouds,98,71.97,102.5,27.66,11.63
52,Upernavik,100,GL,overcast clouds,90,72.79,-56.15,31.87,8.03
53,Rimini,100,IT,overcast clouds,49,44.02,12.52,73.4,10.29
54,Mount Pleasant,90,US,overcast clouds,88,32.79,-79.86,66.0,12.97
55,Sitka,90,US,moderate rain,93,57.05,-135.33,53.6,5.75
56,Kodiak,90,US,mist,87,57.79,-152.41,51.8,16.11
57,Mataura,94,NZ,overcast clouds,52,-46.19,168.86,66.99,14.0
58,Bluff,94,NZ,overcast clouds,52,-46.6,168.33,66.99,14.0
59,Komsomolskiy,70,UZ,broken clouds,50,40.43,71.72,51.8,4.7
60,Sainte-Rose,100,GP,overcast clouds,94,16.33,-61.7,75.2,2.24
61,Cherskiy,89,RU,overcast clouds,76,68.75,161.3,36.09,9.22
62,Whitehorse,90,CA,overcast clouds,76,60.72,-135.05,53.6,14.99
63,Hobyo,50,SO,scattered clouds,86,5.35,48.53,77.09,13.47
64,Kaseda,20,JP,few clouds,57,31.42,130.32,77.0,4.7
65,Kieta,48,PG,light rain,69,-6.22,155.63,84.25,7.72
66,Port Lincoln,70,AU,broken clouds,52,-34.73,135.87,72.09,3.31
67,La Ronge,20,CA,few clouds,93,55.1,-105.28,41.0,3.36
68,Yellowknife,20,CA,few clouds,93,62.46,-114.35,44.01,8.05
69,Gamba,85,GA,overcast clouds,82,-2.65,10.0,76.06,5.08
70,Asau,85,RO,overcast clouds,90,46.43,26.4,51.01,3.31
71,Flinders,0,AU,clear sky,46,-34.58,150.86,82.0,5.99
72,Atuona,2,PF,clear sky,74,-9.8,-139.03,78.53,21.77
73,Bambous Virieux,20,MU,few clouds,93,-20.34,57.76,66.99,6.93
74,Baykit,100,RU,overcast clouds,89,61.67,96.37,34.25,6.69
75,Padang,100,ID,overcast clouds,75,-0.95,100.35,77.29,3.91
76,Provideniya,93,RU,overcast clouds,86,64.38,-173.3,43.7,11.81
77,Vanavara,72,RU,broken clouds,93,60.34,102.28,31.68,8.93
78,Yumen,0,CN,clear sky,44,40.28,97.2,45.55,14.27
79,Port Elizabeth,75,ZA,light rain,87,-33.92,25.57,60.8,14.99
80,Cabo San Lucas,5,MX,clear sky,61,22.89,-109.91,87.8,14.99
81,Mirabad,0,AF,clear sky,28,30.44,61.84,66.25,12.73
82,High Level,40,CA,scattered clouds,71,58.52,-117.14,50.0,2.37
83,Hobart,75,AU,broken clouds,72,-42.88,147.33,68.0,3.36
84,Nantucket,40,US,scattered clouds,64,41.28,-70.1,57.0,5.82
85,Cockburn Town,98,TC,light rain,79,21.46,-71.14,83.64,23.02
86,Hithadhoo,100,MV,overcast clouds,73,-0.6,73.08,83.41,11.83
87,Inhambane,95,MZ,overcast clouds,90,-23.86,35.38,71.87,3.58
88,Mar Del Plata,75,AR,broken clouds,56,-38.0,-57.56,46.0,13.87
89,Carstairs,0,CA,clear sky,68,51.57,-114.1,55.99,3.47
90,Waingapu,20,ID,few clouds,51,-9.66,120.26,87.66,11.88
91,Te Anau,100,NZ,overcast clouds,81,-45.42,167.72,54.37,9.15
